cut_fraction,month,partial_month,strategy,sizing,training_expected_opportunities_per_month,monthly_budget,budget_utilization,initial_cash,available_cash_end,locked_capital_end,open_positions_end,realized_profit,unrealized_profit_marked_at_cost,total_account_value,account_return,eventual_open_profit_audit_only,deployed,fees,entries,resolved_exits,hit_rate,gross_winnings,gross_losses,profit_factor,dollar_days_locked,annualized_return_on_locked_capital,max_drawdown,skipped
0.6,2024-08,True,ungated_per_level,one_dollar_until_exhausted,200.01785714285717,5000.0,0.01702799999999999,5000.0,4975.999999999977,25.08,83,1.0799999999999994,0.0,5001.079999999977,0.00021599999999533104,-15.719999999999994,85.13999999999996,5.413199869759386,254,171,0.24561403508771928,40.39999999999999,-39.32,1.0274669379450658,400.6256646990739,0.9839609259583988,0.002634693726834854,"{""entry_liquidity_limited"": 278, ""minimum_order"": 75, ""threshold_exit_insufficient_liquidity"": 41, ""untrained_level"": 630}"
0.6,2024-08,True,ungated_per_level,availability_target_5000,200.01785714285717,5000.0,0.07010000000000002,5000.0,4814.06999999998,94.61999999999999,83,-91.30999999999999,0.0,4908.68999999998,-0.01826200000000411,-91.75,350.5000000000001,18.331100959714465,254,171,0.22807017543859648,104.44,-195.75,0.5335376756066411,1801.0738619212968,-18.504599230842853,0.02606740055110947,"{""entry_liquidity_limited"": 327, ""minimum_order"": 75, ""threshold_exit_insufficient_liquidity"": 45, ""untrained_level"": 630}"
0.6,2024-08,True,market_gated_per_level,one_dollar_until_exhausted,87.28637566137567,5000.0,0.007916,5000.0,4996.909999999988,4.51,13,1.420000000000002,0.0,5001.419999999988,0.0002839999999977305,-4.51,39.58,2.5165997998528193,121,108,0.23148148148148148,25.080000000000002,-23.66,1.0600169061707525,181.70587731481484,2.8524118628371005,0.001258301293254146,"{""category_gate"": 171, ""entry_liquidity_limited"": 137, ""minimum_order"": 37, ""threshold_exit_insufficient_liquidity"": 22, ""untrained_level"": 630}"
0.6,2024-08,True,market_gated_per_level,availability_target_5000,87.28637566137567,5000.0,0.03229400000000001,5000.0,4915.219999999989,28.5,13,-56.28,0.0,4943.719999999989,-0.011256000000002153,-28.5,161.47000000000006,8.515299758424598,121,108,0.21296296296296297,54.06,-110.34000000000002,0.4899401848830886,1000.7059268518519,-20.52770893905292,0.012764997023964256,"{""category_gate"": 171, ""entry_liquidity_limited"": 158, ""minimum_order"": 37, ""threshold_exit_insufficient_liquidity"": 24, ""untrained_level"": 630}"
0.6,2024-08,True,market_price_gated_global,one_dollar_until_exhausted,87.28637566137567,5000.0,0.007916,5000.0,4993.0599999999895,4.6,15,-2.339999999999999,0.0,4997.65999999999,-0.00046800000000202235,-4.359999999999999,39.58,2.415499831657858,121,106,0.18867924528301888,24.13,-26.470000000000002,0.9115980355119001,188.67545694444448,-4.5268208903900495,0.0016269489909519136,"{""category_gate"": 171, ""entry_liquidity_limited"": 137, ""minimum_order"": 37, ""threshold_exit_insufficient_liquidity"": 7, ""untrained_level"": 630}"
0.6,2024-08,True,market_price_gated_global,availability_target_5000,87.28637566137567,5000.0,0.03229400000000001,5000.0,4912.629999999991,28.59,15,-58.77999999999998,0.0,4941.219999999991,-0.011756000000001765,-28.349999999999998,161.47000000000006,8.432199649920303,121,106,0.18867924528301888,53.910000000000004,-112.69,0.4783920489839383,1007.2074722222223,-21.301172391686144,0.013643499414793642,"{""category_gate"": 171, ""entry_liquidity_limited"": 158, ""minimum_order"": 37, ""threshold_exit_insufficient_liquidity"": 7, ""untrained_level"": 630}"
0.6,2024-09,False,ungated_per_level,one_dollar_until_exhausted,200.01785714285717,5000.0,0.00936,5000.0,4973.409999999986,19.019999999999996,94,-7.5699999999999985,0.0,4992.429999999987,-0.0015140000000026799,0.01000000000000606,46.8,2.994100052920731,176,82,0.35365853658536583,10.81,-18.38,0.5881392818280741,300.26600046296306,-9.202007539114684,0.0019632186389829027,"{""entry_liquidity_limited"": 232, ""minimum_order"": 77, ""threshold_exit_insufficient_liquidity"": 21, ""untrained_level"": 583}"
0.6,2024-09,False,ungated_per_level,availability_target_5000,200.01785714285717,5000.0,0.02228,5000.0,4915.439999999988,38.050000000000004,94,-46.510000000000005,0.0,4953.489999999988,-0.009302000000002364,-19.019999999999996,111.4,5.841000682952996,176,82,0.35365853658536583,15.6,-62.110000000000014,0.2511672838512316,592.2044201388892,-28.666030550765896,0.009748120248142207,"{""entry_liquidity_limited"": 252, ""minimum_order"": 77, ""threshold_exit_insufficient_liquidity"": 21, ""untrained_level"": 583}"
0.6,2024-09,False,market_gated_per_level,one_dollar_until_exhausted,87.28637566137567,5000.0,0.005672000000000001,5000.0,4985.239999999993,8.679999999999998,45,-6.08,0.0,4993.919999999994,-0.001216000000001216,5.6899999999999995,28.360000000000003,1.8120000815071167,94,49,0.4489795918367347,6.359999999999999,-12.439999999999998,0.5112540192926045,122.85434201388887,-18.063667621524655,0.0014477509868305867,"{""category_gate"": 118, ""entry_liquidity_limited"": 103, ""horizon_gate"": 21, ""minimum_order"": 20, ""threshold_exit_insufficient_liquidity"": 13, ""untrained_level"": 583}"
0.6,2024-09,False,market_gated_per_level,availability_target_5000,87.28637566137567,5000.0,0.018122000000000003,5000.0,4923.069999999994,8.679999999999998,45,-68.24999999999999,0.0,4931.7499999999945,-0.01365000000000105,5.6899999999999995,90.61000000000001,4.231001393375544,94,49,0.4489795918367347,6.39,-74.64,0.08561093247588424,194.30636979166664,-128.2060388792688,0.01387961270661463,"{""category_gate"": 118, ""entry_liquidity_limited"": 114, ""horizon_gate"": 21, ""minimum_order"": 20, ""threshold_exit_insufficient_liquidity"": 13, ""untrained_level"": 583}"
0.6,2024-09,False,market_price_gated_global,one_dollar_until_exhausted,87.28637566137567,5000.0,0.005672000000000001,5000.0,4981.969999999994,11.349999999999994,51,-6.679999999999999,0.0,4993.319999999994,-0.001336000000001114,2.3099999999999996,28.360000000000003,1.5036000868357717,94,43,0.32558139534883723,5.89,-12.57,0.4685759745425616,149.35718611111105,-16.32462463631414,0.0016259739844164548,"{""category_gate"": 118, ""entry_liquidity_limited"": 103, ""horizon_gate"": 21, ""minimum_order"": 20, ""threshold_exit_insufficient_liquidity"": 3, ""untrained_level"": 583}"
0.6,2024-09,False,market_price_gated_global,availability_target_5000,87.28637566137567,5000.0,0.018122000000000003,5000.0,4919.719999999995,11.399999999999995,51,-68.87999999999998,0.0,4931.119999999994,-0.01377600000000112,2.26,90.61000000000001,3.9144013987041992,94,43,0.32558139534883723,5.89,-74.77,0.078774909723151,221.04674745370366,-113.73702752747177,0.014065774947601018,"{""category_gate"": 118, ""entry_liquidity_limited"": 114, ""horizon_gate"": 21, ""minimum_order"": 20, ""threshold_exit_insufficient_liquidity"": 3, ""untrained_level"": 583}"
0.6,2024-10,False,ungated_per_level,one_dollar_until_exhausted,200.01785714285717,5000.0,0.02190800000000003,5000.0,5039.459999999979,31.07999999999999,131,70.53999999999999,0.0,5070.539999999979,0.01410799999999579,-6.15999999999999,109.54000000000016,6.765600130312144,336,205,0.40487804878048783,112.70999999999998,-42.169999999999995,2.672753142044107,467.11266689814835,55.11967845139603,0.0021381782721123085,"{""entry_liquidity_limited"": 387, ""minimum_order"": 115, ""threshold_exit_insufficient_liquidity"": 55, ""untrained_level"": 1374}"
0.6,2024-10,False,ungated_per_level,availability_target_5000,200.01785714285717,5000.0,0.07241399999999998,5000.0,4952.829999999983,89.48,131,42.30999999999998,0.0,5042.309999999982,0.008461999999996417,-21.619999999999965,362.0699999999999,18.096100546097716,336,205,0.4,197.39,-155.07999999999998,1.2728269280371423,1678.982467129628,9.197922135781115,0.010629766145144553,"{""entry_liquidity_limited"": 448, ""minimum_order"": 115, ""threshold_exit_insufficient_liquidity"": 58, ""untrained_level"": 1374}"
0.6,2024-10,False,market_gated_per_level,one_dollar_until_exhausted,87.28637566137567,5000.0,0.0102,5000.0,5057.3599999999915,14.289999999999988,56,71.65,0.0,5071.649999999991,0.0143299999999984,1.3099999999999998,51.00000000000001,3.0243002856805945,162,106,0.36792452830188677,90.99000000000001,-19.34,4.704756980351603,282.50137152777774,92.57388684015119,0.001443047588592126,"{""category_gate"": 245, ""entry_liquidity_limited"": 176, ""minimum_order"": 44, ""threshold_exit_insufficient_liquidity"": 22, ""untrained_level"": 1374}"
0.6,2024-10,False,market_gated_per_level,availability_target_5000,87.28637566137567,5000.0,0.046238,5000.0,4963.849999999993,47.41000000000001,56,11.259999999999968,0.0,5011.259999999993,0.0022519999999985885,-2.9399999999999866,231.19,9.896802205301084,162,106,0.36792452830188677,139.13,-127.87000000000002,1.0880581840932195,1271.7946217592585,3.2315752321037587,0.011876000000000204,"{""category_gate"": 245, ""entry_liquidity_limited"": 205, ""minimum_order"": 44, ""threshold_exit_insufficient_liquidity"": 24, ""untrained_level"": 1374}"
0.6,2024-10,False,market_price_gated_global,one_dollar_until_exhausted,87.28637566137567,5000.0,0.0102,5000.0,5057.45999999999,14.439999999999987,58,71.89999999999999,0.0,5071.89999999999,0.014379999999997839,4.270000000000006,51.00000000000001,2.8498002396538884,162,104,0.3269230769230769,91.87,-19.97,4.600400600901352,292.45552812499994,89.73501088611026,0.0014909056752351125,"{""category_gate"": 245, ""entry_liquidity_limited"": 176, ""minimum_order"": 44, ""threshold_exit_insufficient_liquidity"": 13, ""untrained_level"": 1374}"
0.6,2024-10,False,market_price_gated_global,availability_target_5000,87.28637566137567,5000.0,0.046238,5000.0,4964.059999999991,47.56000000000001,58,11.619999999999983,0.0,5011.619999999992,0.0023239999999984384,-5.339999999999988,231.19,9.721202101910867,162,104,0.3269230769230769,140.12,-128.5,1.0904280155642023,1274.7319899305548,3.327209196523775,0.011786000000000421,"{""category_gate"": 245, ""entry_liquidity_limited"": 205, ""minimum_order"": 44, ""threshold_exit_insufficient_liquidity"": 13, ""untrained_level"": 1374}"
0.6,2024-11,False,ungated_per_level,one_dollar_until_exhausted,200.01785714285717,5000.0,0.016759999999999994,5000.0,4985.7699999999695,27.59999999999999,120,13.37,0.0,5013.36999999997,0.00267399999999407,-16.539999999999985,83.79999999999997,5.3859997465230585,278,158,0.36075949367088606,52.260000000000005,-38.89,1.3437901774235024,431.47446076388906,11.310171154418464,0.002401228981756237,"{""entry_liquidity_limited"": 307, ""minimum_order"": 79, ""threshold_exit_insufficient_liquidity"": 58, ""untrained_level"": 1027}"
0.6,2024-11,False,ungated_per_level,availability_target_5000,200.01785714285717,5000.0,0.05128400000000002,5000.0,4904.559999999967,77.48,121,-17.959999999999994,0.0,4982.039999999966,-0.003592000000006701,-35.58000000000001,256.4200000000001,12.957198773680593,278,157,0.35668789808917195,107.08,-125.04000000000002,0.8563659628918745,991.5376072916658,-6.611347821597747,0.01476026492171898,"{""entry_liquidity_limited"": 357, ""minimum_order"": 79, ""threshold_exit_insufficient_liquidity"": 61, ""untrained_level"": 1027}"
0.6,2024-11,False,market_gated_per_level,one_dollar_until_exhausted,87.28637566137567,5000.0,0.007494000000000006,5000.0,4987.669999999985,7.319999999999996,34,-5.01,0.0,4994.989999999984,-0.001002000000003167,-1.2899999999999991,37.47000000000003,2.292099700548501,110,76,0.39473684210526316,15.14,-20.14999999999999,0.7513647642679904,108.24427314814815,-16.89373439181604,0.0022400198224789393,"{""category_gate"": 220, ""entry_liquidity_limited"": 103, ""horizon_gate"": 8, ""minimum_order"": 19, ""threshold_exit_insufficient_liquidity"": 20, ""untrained_level"": 1027}"
