cut_fraction,gate_type,candidate,categories,max_horizon_days,score,initial_cash,available_cash_end,locked_capital_end,open_positions_end,realized_profit,unrealized_profit_marked_at_cost,total_account_value,account_return,eventual_open_profit_audit_only,deployed,fees,entries,resolved_exits,hit_rate,gross_winnings,gross_losses,profit_factor,dollar_days_locked,annualized_return_on_locked_capital,max_drawdown,skipped,levels
0.6,global_price_range,all_trained_prices,,,27.90935637917826,5000.0,4987.539999999975,42.75,126,30.290000000000017,0.0,5030.289999999975,0.006057999999995012,-33.22000000000001,143.76000000000005,10.05670045226289,440,314,0.17834394904458598,107.95,-77.66,1.3900334792686069,2431.4362082175926,4.547045060295739,0.0027338542955443086,"{'untrained_level': 1796, 'category_gate': 669, 'entry_liquidity_limited': 465, 'horizon_gate': 31, 'threshold_exit_insufficient_liquidity': 34, 'minimum_order': 102}","1,2,3,4,5,10,25,40,45"
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",1,74.47947792288193,5000.0,5074.509999999981,0,0,74.50999999999998,0.0,5074.509999999981,0.014901999999996196,0.0,396.58999999999907,24.446399187219157,884,884,0.3042986425339366,326.96999999999997,-252.45999999999998,1.2951358631070269,305.2207711805556,89.10320845730355,0.005135424673136,"{'horizon_gate': 3143, 'untrained_level': 2698, 'entry_liquidity_limited': 797, 'threshold_exit_insufficient_liquidity': 155, 'minimum_order': 147}",
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",3,66.83127429400461,5000.0,5066.439999999953,0.49,4,66.92999999999999,0.0,5066.929999999953,0.013385999999990572,0.040000000000000036,588.2999999999986,37.27729822410868,1341,1337,0.2991772625280479,449.09,-382.16,1.1751360686623402,742.2570599537053,32.91238483002596,0.00807822199606094,"{'horizon_gate': 2576, 'untrained_level': 2698, 'entry_liquidity_limited': 1259, 'threshold_exit_insufficient_liquidity': 269, 'minimum_order': 257}",
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",7,82.68625375238425,5000.0,5076.27999999994,6.96,20,83.23999999999998,0.0,5083.23999999994,0.016647999999988006,-4.7299999999999995,849.1399999999973,55.319198493116915,1965,1945,0.2812339331619537,652.8400000000001,-569.5999999999999,1.1461376404494386,2057.4624761574087,14.767025086524852,0.008505705746100439,"{'horizon_gate': 1838, 'untrained_level': 2698, 'entry_liquidity_limited': 1854, 'minimum_order': 371, 'threshold_exit_insufficient_liquidity': 435}",
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",14,62.430997901724545,5000.0,5053.489999999918,9.709999999999997,23,63.20000000000001,0.0,5063.199999999918,0.012639999999983553,-5.18,940.7399999999959,61.53719817824205,2250,2227,0.27076784912438256,697.97,-634.77,1.0995636214691937,2835.0209827546264,8.136800447094453,0.010127259752617974,"{'horizon_gate': 1491, 'untrained_level': 2698, 'entry_liquidity_limited': 2154, 'minimum_order': 433, 'threshold_exit_insufficient_liquidity': 493}",
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",30,41.04846558193271,5000.0,5012.229999999903,30.880000000000003,83,43.109999999999836,0.0,5043.109999999903,0.00862199999998059,-20.460000000000004,1088.4999999999934,72.20919815540927,2611,2528,0.2634493670886076,773.3,-730.19,1.0590394280940576,5175.34418067129,3.040406483257109,0.012386647586888887,"{'horizon_gate': 1075, 'untrained_level': 2698, 'entry_liquidity_limited': 2483, 'threshold_exit_insufficient_liquidity': 589, 'minimum_order': 488}",
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",60,46.59308832410861,5000.0,5002.179999999888,47.63000000000002,128,49.80999999999981,0.0,5049.8099999998885,0.0099619999999776,-30.870000000000005,1198.7299999999907,80.40679776186954,2864,2736,0.260233918128655,849.5,-799.69,1.0622866360714776,8354.116758912043,2.1762504073940665,0.01640049152165884,"{'horizon_gate': 764, 'untrained_level': 2698, 'entry_liquidity_limited': 2731, 'threshold_exit_insufficient_liquidity': 657, 'minimum_order': 546}",
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",90,35.494339088055376,5000.0,4983.499999999882,55.850000000000016,152,39.349999999999824,0.0,5039.349999999882,0.007869999999976507,-35.07999999999999,1253.719999999989,84.71739740670495,3003,2851,0.2581550333216415,872.5499999999998,-833.2,1.0472275564090252,10631.609119444462,1.3509478987269652,0.015417884509058451,"{'horizon_gate': 577, 'untrained_level': 2698, 'entry_liquidity_limited': 2882, 'threshold_exit_insufficient_liquidity': 684, 'minimum_order': 594}",
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",180,2.025806842129448,5000.0,4916.1399999998675,92.62000000000003,235,8.759999999999826,0.0,5008.759999999867,0.0017519999999735525,-68.55000000000004,1371.8499999999856,93.37619771452188,3267,3032,0.2536279683377309,903.03,-894.27,1.0097956992854507,21031.931578703752,0.15202597954614494,0.017576794840682315,"{'horizon_gate': 239, 'untrained_level': 2698, 'entry_liquidity_limited': 3146, 'threshold_exit_insufficient_liquidity': 749, 'minimum_order': 668}",
0.7,market,all,"crypto,economics,entertainment,other,politics,sports,weather",none,-49.13240755515071,5000.0,4840.539999999855,119.50000000000006,324,-39.96000000000024,0.0,4960.039999999855,-0.007992000000028976,-77.89000000000009,1468.2399999999823,100.50329758698955,3463,3139,0.24784963364128704,911.71,-951.67,0.9580106549539232,31974.075551504655,-0.4561633056913735,0.020402109035410745,"{'entry_liquidity_limited': 3315, 'untrained_level': 2698, 'threshold_exit_insufficient_liquidity': 780, 'minimum_order': 711}",
